,ctdpf_ckl_seawater_temperature,practical_salinity,ctdpf_ckl_seawater_conductivity,density,Label
"(1152638.102, 1152738.106]",2.4226620000000008,34.46119246353827,3.133543200000002,1034.0730835860436,1
"(1152738.106, 1152838.109]",2.4429460000000005,34.45670820023659,3.133980400000002,1033.9619592207193,1
"(1152838.109, 1152938.112]",2.4703679999999992,34.45058961797324,3.1349021999999986,1033.8484940635335,1
"(1152938.112, 1153038.116]",2.499926,34.44417934901797,3.1359841000000013,1033.7344467591358,1
"(1153038.116, 1153138.119]",2.5284279999999986,34.43798564696234,3.136994900000001,1033.6211439933943,1
"(1153138.119, 1153238.122]",2.553891,34.432363283063125,3.1377674,1033.506501095169,1
"(1153238.122, 1153338.126]",2.5837010000000005,34.425813003252294,3.138847099999998,1033.3912321861646,1
"(1153338.126, 1153438.129]",2.6055610000000002,34.42113421765913,3.1394130999999987,1033.2812234923324,1
"(1153438.129, 1153538.132]",2.6288590000000003,34.416019333595685,3.1400406999999997,1033.1677860735372,1
"(1153538.132, 1153638.136]",2.6517249999999994,34.411016750316115,3.1406283000000013,1033.0533534139531,1
"(1153638.136, 1153738.139]",2.6813470000000006,34.40452273111609,3.1416879000000013,1032.937723119879,1
"(1153738.139, 1153838.142]",2.713768999999999,34.39755050044646,3.142953799999999,1032.821677074916,1
"(1153838.142, 1153938.145]",2.749381000000002,34.390050147125756,3.1444526000000015,1032.7047697068856,1
"(1153938.145, 1154038.149]",2.7844179999999996,34.38278019526192,3.145927200000001,1032.5889707275378,1
"(1154038.149, 1154138.152]",2.8173339999999985,34.376293921248966,3.1472773999999992,1032.473718075471,1
"(1154138.152, 1154238.155]",2.8514919999999995,34.36932471217696,3.1486921000000017,1032.357615263845,1
"(1154238.155, 1154338.159]",2.886325,34.36190411089432,3.1501229999999993,1032.2405986466401,1
"(1154338.159, 1154438.162]",2.9187309999999997,34.354567670474815,3.151386600000003,1032.1280683565717,1
"(1154438.162, 1154538.165]",2.9547050000000015,34.34623613559181,3.152871100000001,1032.0135443771956,1
"(1154538.165, 1154638.169]",2.995011999999999,34.33881346306476,3.1547886,1031.897139676412,1
"(1154638.169, 1154738.172]",3.0383260000000005,34.33084700582591,3.1569111,1031.7787126658002,1
"(1154738.172, 1154838.175]",3.0769790000000006,34.320936765048984,3.1584721,1031.6600770807402,1
"(1154838.175, 1154938.179]",3.111564999999999,34.313147886219234,3.159853299999998,1031.543647140291,1
"(1154938.179, 1155038.182]",3.1545320000000006,34.30474691325595,3.161914299999998,1031.4257072305822,1
"(1155038.182, 1155138.185]",3.1931010000000004,34.2966725851926,3.1636161999999994,1031.308410001891,1
"(1155138.185, 1155238.188]",3.232000000000002,34.28852651453254,3.165364700000002,1031.1936498267125,1
"(1155238.188, 1155338.192]",3.2747959999999994,34.27968902965911,3.167362000000001,1031.074339489457,1
"(1155338.192, 1155438.195]",3.3275680000000007,34.26913111032515,3.1700762000000005,1030.9513305398752,1
"(1155438.195, 1155538.198]",3.3852670000000002,34.25684587867422,3.173084199999999,1030.8272190116338,1
"(1155538.198, 1155638.202]",3.428304000000001,34.246912384849935,3.1750079999999996,1030.7069578496175,1
"(1155638.202, 1155738.205]",3.4705540000000004,34.23630440541704,3.1767958999999983,1030.585240985833,1
"(1155738.205, 1155838.208]",3.5091709999999994,34.22496486103509,3.178214399999999,1030.464509200755,1
"(1155838.208, 1155938.212]",3.5446129999999987,34.21373127292242,3.179377399999998,1030.3457831752778,1
"(1155938.212, 1156038.215]",3.5890510000000018,34.19828819466825,3.180972500000001,1030.2226000251328,1
"(1156038.215, 1156138.218]",3.633944000000001,34.17823588989716,3.1822075,1030.0945142331354,1
