,ctdpf_ckl_seawater_temperature,practical_salinity,ctdpf_ckl_seawater_conductivity,density,Label
"(728963.939, 729063.947]",3.9666690000000004,33.98511727313556,3.2109743999999996,1031.5964986544627,0
"(729063.947, 729163.956]",4.0062799999999985,33.97384990174372,3.2124134999999994,1031.4681433362348,0
"(729163.956, 729263.965]",4.094481999999998,33.96319298481731,3.2181308,1031.3321922294897,0
"(729263.965, 729363.974]",4.1947920000000005,33.957899223962364,3.2253594,1031.1981630498249,0
"(729363.974, 729463.982]",4.2562310000000005,33.949431080888196,3.228936400000001,1031.0683485035022,0
"(729463.982, 729563.991]",4.337031,33.94383577163436,3.2344338000000015,1030.9361209440917,0
"(729563.991, 729664.0]",4.422630693069308,33.93121143646252,3.239744059405938,1030.7970830792733,0
"(729664.0, 729764.009]",4.520379999999999,33.92199537847469,3.2464351,1030.6614088250267,0
"(729764.009, 729864.018]",4.6119650000000005,33.913997002957665,3.252714,1030.5297065986542,0
"(729864.018, 729964.026]",4.708078,33.9072051046144,3.2594765,1030.396081021619,0
"(729964.026, 730064.035]",4.7498530000000025,33.900113578874546,3.261440300000001,1030.2688412990597,0
"(730064.035, 730164.044]",4.766000000000002,33.88788444402382,3.260717099999999,1030.141889768103,0
"(730164.044, 730264.053]",4.832059000000001,33.881480514144194,3.2648703,1030.0119688863188,0
"(730264.053, 730364.061]",4.941961,33.88512816960477,3.2737602,1029.8851414317257,0
"(730364.061, 730464.07]",4.986296,33.88407367976233,3.2765053000000006,1029.7657662016254,0
"(730464.07, 730564.079]",5.038997,33.88348947286163,3.2800309999999984,1029.645980106285,0
"(730564.079, 730664.088]",5.091709,33.88538275171422,3.283748100000001,1029.5253258699015,0
"(730664.088, 730764.096]",5.165233999999999,33.88870132623873,3.289428500000001,1029.4033940650795,0
"(730764.096, 730864.105]",5.228489000000001,33.892050761158664,3.2942239000000013,1029.2843137979582,0
"(730864.105, 730964.114]",5.300697000000001,33.89498557964574,3.299764000000002,1029.1624152227193,0
"(730964.114, 731064.123]",5.3614250000000006,33.89818775487594,3.304308099999998,1029.0412831081042,0
"(731064.123, 731164.132]",5.440757999999999,33.89768030108234,3.3101704999999995,1028.9145044760671,0
"(731164.132, 731264.14]",5.459552999999999,33.89367996652547,3.310376700000001,1028.7931067228917,0
"(731264.14, 731364.149]",5.454159999999999,33.89243982119487,3.3086855,1028.6770157414433,0
"(731364.149, 731464.158]",5.4533799999999975,33.89257237209972,3.307521000000001,1028.561345394463,0
"(731464.158, 731564.167]",5.451956999999998,33.892711955811755,3.3062871,1028.4445309607065,0
"(731564.167, 731664.175]",5.450926000000001,33.892994478955856,3.3050962999999998,1028.3274909051913,0
"(731664.175, 731764.184]",5.448338,33.89315827155278,3.3037493999999987,1028.2098677371714,0
"(731764.184, 731864.193]",5.445693000000001,33.892967256792204,3.3023602000000016,1028.0914764384274,0
"(731864.193, 731964.202]",5.443895000000001,33.8931844703119,3.3010783000000004,1027.9730837598547,0
"(731964.202, 732064.211]",5.441609000000001,33.89307285125819,3.2997231,1027.8545040000158,0
"(732064.211, 732164.219]",5.439413999999998,33.89307694502163,3.298385299999999,1027.736065563883,0
"(732164.219, 732264.228]",5.4372969999999965,33.89311586363878,3.2970946999999966,1027.6216406628985,0
"(732264.228, 732364.237]",5.437383,33.89339732683865,3.2968054999999987,1027.5885513109872,0
"(732364.237, 732464.246]",4.6555709999999975,34.00691379954488,3.2582657999999993,1029.9759414602815,0
"(732464.246, 732564.254]",2.18089,34.366336915274154,3.1362433999999975,1037.5287109340795,0
"(732564.254, 732664.263]",2.186334,34.36525639355917,3.1361673999999997,1037.4747929496793,0
"(732664.263, 732764.272]",2.201429,34.36264728765022,3.1362369000000028,1037.3540524240334,0
"(732764.272, 732864.281]",2.218973,34.35982830478663,3.1365138999999997,1037.2344172738194,0
"(732864.281, 732964.289]",2.2361629999999995,34.356167316399045,3.1367120000000006,1037.116678795999,0
"(732964.289, 733064.298]",2.2498210000000003,34.3522903671284,3.1365831999999987,1036.998997046129,0
"(733064.298, 733164.307]",2.267645999999999,34.3485744033961,3.1368554999999985,1036.8841046888688,0
"(733164.307, 733264.316]",2.288962000000001,34.343825828830305,3.1373421000000006,1036.7677037858593,0
"(733264.316, 733364.325]",2.306806,34.33966775529217,3.137575000000002,1036.6521899082256,0
"(733364.325, 733464.333]",2.3229150000000005,34.333366786792816,3.1374703000000013,1036.5340730516143,0
"(733464.333, 733564.342]",2.3432660000000003,34.32782250620741,3.137798600000003,1036.4165278314852,0
"(733564.342, 733664.351]",2.3621999999999996,34.32376125836083,3.1381384000000003,1036.3018678909052,0
"(733664.351, 733764.36]",2.3782859999999992,34.3197466310876,3.138234599999998,1036.1876666158619,0
"(733764.36, 733864.368]",2.397739,34.31529352847733,3.138602599999999,1036.0746285885282,0
"(733864.368, 733964.377]",2.423733,34.30845698085801,3.139370100000001,1035.9622237034177,0
"(733964.377, 734064.386]",2.4437129999999994,34.302573360166654,3.1396980999999995,1035.851835744352,0
"(734064.386, 734164.395]",2.463591999999999,34.29666047624997,3.1399803000000013,1035.7376805079562,0
"(734164.395, 734264.404]",2.4884860000000004,34.28983537001483,3.1406231999999994,1035.6224253708615,0
"(734264.404, 734364.412]",2.510397999999999,34.2838691564848,3.1410508000000026,1035.5052741553143,0
"(734364.412, 734464.421]",2.534817,34.276523712680316,3.1415672000000017,1035.3851845854579,0
"(734464.421, 734564.43]",2.5546340000000014,34.2710989103366,3.141876700000002,1035.2711000915995,0
"(734564.43, 734664.439]",2.5737570000000005,34.265378885110614,3.142066800000001,1035.1531145000677,0
"(734664.439, 734764.447]",2.5973920000000006,34.25781593011131,3.142473000000001,1035.030678051493,0
"(734764.447, 734864.456]",2.6230569999999984,34.25038359735914,3.1430776,1034.9095275896607,0
"(734864.456, 734964.465]",2.6567250000000007,34.241016119167924,3.144225200000002,1034.7869666204058,0
"(734964.465, 735064.474]",2.6858770000000005,34.23198828821045,3.1450245000000017,1034.66709500686,0
"(735064.474, 735164.482]",2.710815,34.221778680002956,3.1453429000000015,1034.5450104253819,0
"(735164.482, 735264.491]",2.7338869999999997,34.20966172589719,3.145320499999999,1034.4194822620586,0
"(735264.491, 735364.5]",2.7704309999999994,34.19747694050909,3.1464724000000013,1034.2936672311046,0
"(735364.5, 735464.509]",2.8013649999999988,34.185736638346924,3.1471693999999992,1034.1685161138723,0
"(735464.509, 735564.518]",2.834011,34.176389364553806,3.1482244,1034.0464473808872,0
"(735564.518, 735664.526]",2.8598650000000014,34.169447881399044,3.1488864000000008,1033.9269121883458,0
"(735664.526, 735764.535]",2.8889139999999984,34.160734736977226,3.1496875000000024,1033.8066997555773,0
"(735764.535, 735864.544]",2.9220340000000005,34.15040890482172,3.1506960000000026,1033.6835358981562,0
"(735864.544, 735964.553]",2.954092999999999,34.13986938415234,3.1516258999999978,1033.5639200012895,0
"(735964.553, 736064.561]",2.9832870000000002,34.13066985469099,3.1524245000000004,1033.4465313377068,0
"(736064.561, 736164.57]",3.0235659999999998,34.11938816290664,3.153972899999999,1033.321991488208,0
"(736164.57, 736264.579]",3.0645930000000003,34.10811979451011,3.155584599999999,1033.197225186575,0
"(736264.579, 736364.588]",3.109768,34.098194410901556,3.157706799999997,1033.0773653081303,0
"(736364.588, 736464.596]",3.159699000000001,34.08675674211917,3.1601369000000004,1032.958142632742,0
"(736464.596, 736564.605]",3.207254,34.07696866571026,3.162432700000002,1032.8334585814125,0
"(736564.605, 736664.614]",3.2709940000000004,34.064669481103245,3.1659081999999996,1032.7031024460168,0
"(736664.614, 736764.623]",3.3398289999999986,34.05154818684542,3.169763299999999,1032.5721595920531,0
"(736764.623, 736864.632]",3.383178999999999,34.04464544103734,3.171942200000001,1032.4512965991776,0
"(736864.632, 736964.64]",3.443196,34.03537337925497,3.1753557999999993,1032.3248525288045,0
"(736964.64, 737064.649]",3.5161710000000013,34.026165475686106,3.1798844,1032.1949165598735,0
"(737064.649, 737164.658]",3.598718,34.01654670963672,3.1851932000000005,1032.0613718339787,0
"(737164.658, 737264.667]",3.6893670000000003,34.0053470511327,3.191077199999998,1031.9257142885995,0
"(737264.667, 737364.675]",3.7695580000000013,33.9953777561494,3.1961589000000004,1031.7926950080096,0
"(737364.675, 737464.684]",3.8412780000000004,33.98686213944066,3.2006685999999984,1031.6664663402462,0
"(737464.684, 737564.693]",3.9192590000000007,33.978483747642535,3.2057442000000003,1031.5403208250555,0
"(737564.693, 737664.702]",3.981155000000001,33.972031354180935,3.2095629000000003,1031.4157844102315,0
"(737664.702, 737764.711]",4.091836,33.961932896660926,3.217300699999999,1031.2786532155862,0
"(737764.711, 737864.719]",4.193847,33.95515197616269,3.2245663000000007,1031.1450024213946,0
"(737864.719, 737964.728]",4.291359000000001,33.945703846916885,3.2312279000000013,1031.0112189533613,0
"(737964.728, 738064.737]",4.343043999999998,33.93905755742807,3.2341443999999995,1030.888068690444,0
"(738064.737, 738164.746]",4.4499070000000005,33.92862475035786,3.2415501000000013,1030.7528477445032,0
"(738164.746, 738264.754]",4.552728000000001,33.920560898175026,3.2487844000000012,1030.617284819532,0
"(738264.754, 738364.763]",4.645238,33.91208434506285,3.2550825999999997,1030.482752626002,0
"(738364.763, 738464.772]",4.706541999999999,33.90295640664922,3.2585939,1030.3524006799544,0
"(738464.772, 738564.781]",4.755177000000001,33.893290084235986,3.260956799999999,1030.2244238551718,0
"(738564.781, 738664.789]",4.806257000000001,33.88697082164592,3.2638293000000003,1030.0993609086959,0
"(738664.789, 738764.798]",4.855918,33.882446424776575,3.2667287,1029.9755063385135,0
"(738764.798, 738864.807]",4.911409,33.87962528311643,3.2702687,1029.8500956184287,0
"(738864.807, 738964.816]",4.993383999999999,33.88352206128728,3.276737199999999,1029.727959447329,0
"(738964.816, 739064.825]",5.0641370000000006,33.88503804701166,3.282027300000002,1029.6066177694845,0
