depth,date,temp,oxygen,Salinity,Chl
0.99,1/22/13 9:17,7.7762,NA,8.3,0.582
1.1,2/19/13 9:18,8.1842,NA,8.3,1.82
0.99,3/18/13 10:46,8.2198,NA,8.2,0.863
1.1,4/3/13 8:55,8.9732,NA,9.8,9.55
1.2,4/16/13 9:22,9.1617,NA,11.5,27.3
2.7,4/16/13 9:22,9.0655,NA,10.6,26.2
0.98,5/8/13 8:49,11.238,NA,12.9,15.2
0.99,5/20/13 9:51,11.9562,NA,11.4,7.92
1,6/4/13 9:36,NA,NA,NA,8.26
2.7,6/18/13 9:37,13.8741,NA,11.3,14.6
0.89,6/18/13 9:37,14.0099,NA,11.4,14.1
1.9,7/3/13 9:36,14.8138,NA,11,17.2
0.96,7/15/13 9:43,14.7897,NA,11.7,19.4
1.6,8/7/13 13:24,14.5124,NA,12.3,35
1,8/22/13 8:22,13.5416,NA,9.9,26.2
2.4,8/22/13 8:22,13.4788,NA,9.6,30
0.94,8/26/13 9:33,13.0404,NA,8.5,18.3
0.94,9/4/13 8:42,14.2572,NA,12.1,25.9
0.97,9/16/13 9:58,13.2773,NA,7.3,2.88
2.5,9/16/13 9:58,13.2851,NA,7.3,2.27
0.92,10/9/13 14:01,12.3419,NA,7,1.29
2.4,10/9/13 14:01,12.3237,NA,6.9,1.77
0.84,10/21/13 9:26,11.9437,NA,7.1,2.28
1.1,11/18/13 9:13,10.8614,NA,6.6,0.093
0.9,12/16/13 9:28,9.418,NA,7.1,0.202
0.99,1/21/14 9:35,7.9516,NA,8.2,0.131
0.9,2/4/14 12:55,7.7797,NA,8.3,1.91
2.6,3/19/14 9:09,8.4044,NA,9.4,1.19
1.1,3/19/14 9:10,8.4059,NA,9.4,1.37
0.85,4/9/14 9:20,9.4224,NA,12,46.5
2.3,4/9/14 9:20,9.2462,NA,11.3,35.4
0.79,4/22/14 14:02,9.3568,NA,11,25
1.3,5/7/14 11:00,10.3323,NA,13,38.3
2.8,5/7/14 11:00,9.9357,NA,11.3,29.4
1.1,5/19/14 10:25,11.3798,NA,9.5,2.33
2.8,5/19/14 10:25,11.2014,NA,9.5,1.61
0.75,6/4/14 10:14,11.5764,NA,10.7,5.85
1.9,6/4/14 10:14,11.5564,NA,10.8,7.87
0.99,6/16/14 10:21,11.5899,NA,9.8,7.15
1.1,7/7/14 10:03,14.9167,NA,11.5,17.8
2.1,7/7/14 10:03,14.6358,NA,11.4,12.5
1.3,7/21/14 9:33,12.9996,NA,7.8,1.42
1,8/5/14 13:40,NA,NA,NA,4.89
2.5,8/5/14 13:43,NA,NA,NA,6.82
1,8/18/14 9:30,NA,NA,NA,9.42
2.5,8/18/14 9:39,NA,NA,NA,6.06
0.96,9/8/14 9:30,13.7724,NA,9.3,25
2.4,9/8/14 9:30,13.7537,NA,9.3,24.1
0.71,9/22/14 9:43,13.6673,NA,8.2,10.3
2.2,9/22/14 9:43,13.6548,NA,8.2,9.08
0.5,10/6/14 9:42,13.5416,NA,9.1,13.4
1.2,10/6/14 9:42,13.5039,NA,8.9,9.71
0.67,10/20/14 9:31,12.9726,NA,6.8,3.62
0.78,11/17/14 10:22,9.6757,NA,8.5,5.13
1.9,11/17/14 10:22,9.7587,NA,8,4.22
0.62,12/15/14 9:43,9.9704,NA,7.7,NA
1.6,12/15/14 9:43,10.4909,NA,7.3,NA
0.82,1/20/15 9:40,9.7812,NA,7.7,1.17
0.53,2/2/15 9:43,9.3525,NA,8.4,4.84
2.9,2/2/15 9:43,9.4226,NA,8.3,1.52
1.4,2/17/15 9:37,9.5894,NA,8.4,1.5
2.4,2/17/15 9:37,9.6531,NA,8.2,1.68
0.61,3/23/15 9:25,9.482,NA,7.9,0.473
2.5,3/23/15 9:25,9.5658,NA,7.7,0.312
1.3,4/6/15 9:16,10.2321,NA,9.1,6.91
1.2,4/20/15 10:34,11.012,NA,12,32
1.6,4/20/15 10:34,10.9824,NA,12,24
0.51,5/4/15 9:34,11.48,NA,10.8,16.7
