File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3898,1.5068,34.6801,27.7787,68.3,3.09,134.1,0.098,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3899,1.5066,34.6802,27.7788,68.3,3.1,134.8,0.099,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3900,1.5072,34.6799,27.7785,68.3,3.1,134.6,0.085,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3901,1.5069,34.6798,27.7784,68.4,3.1,134.7,0.087,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3902,1.5071,34.6799,27.7785,68.3,3.1,134.7,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3903,1.5071,34.6801,27.7787,68.4,3.12,135.6,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3904,1.507,34.6802,27.7787,68.3,3.07,133.5,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3905,1.5067,34.6802,27.7788,68.3,3.1,134.7,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3906,1.5066,34.6803,27.7789,68.4,3.11,135.1,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3907,1.5066,34.68,27.7786,68.4,3.1,134.8,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3908,1.5068,34.6801,27.7787,68.4,3.1,134.8,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3909,1.5069,34.6801,27.7787,68.4,3.12,135.7,0.09699999999999999,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3910,1.507,34.6802,27.7787,68.4,3.09,134.0,0.09699999999999999,
