File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,2.1,6.3652,32.7098,25.7236,56.1,7.17,312.0,0.8640000000000001,1.4709999999999999,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2.3,6.3718,32.7068,25.7204,56.2,7.19,313.0,0.534,1.074,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,3.0,6.3718,32.7068,25.7204,56.1,7.19,313.0,0.5479999999999999,1.053,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,3.0,6.3654,32.7098,25.7235,56.3,7.17,311.9,0.833,1.52,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,3.5,6.7381,32.6835,25.6548,57.7,7.11,309.4,0.635,1.127,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,3.9,6.7372,32.6836,25.655,57.7,7.11,309.7,0.644,1.18,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,4.0,6.3721,32.7068,25.7203,56.2,7.18,312.7,0.5379999999999999,1.07,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,4.0,6.3661,32.7098,25.7235,56.3,7.17,312.1,0.8420000000000001,1.565,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,4.3,6.7893,32.6864,25.6504,56.9,7.17,312.0,0.7,1.203,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,4.4,6.4713,32.6974,25.7003,56.0,7.19,313.0,0.725,1.344,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,5.0,6.3725,32.7067,25.7202,56.2,7.18,312.3,0.544,1.092,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,5.0,6.3664,32.7098,25.7234,56.5,7.17,312.0,0.847,1.5659999999999998,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,5.0,6.4712,32.6975,25.7004,56.0,7.19,313.0,0.727,1.3319999999999999,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,5.0,6.7864,32.6866,25.6509,57.0,7.17,312.1,0.629,1.236,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,5.0,6.7342,32.6839,25.6557,57.7,7.12,309.8,0.638,1.194,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,5.1,6.7874,32.6814,25.6467,57.6,7.11,309.4,0.6559999999999999,1.149,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,6.0,6.3738,32.7067,25.72,56.1,7.17,312.2,0.5579999999999999,1.115,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,6.0,6.3664,32.7098,25.7234,56.5,7.17,312.1,0.855,1.538,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,6.0,6.4715,32.6977,25.7005,55.9,7.19,312.9,0.745,1.4169999999999998,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,6.0,6.7785,32.6869,25.6522,56.9,7.17,312.0,0.629,1.245,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,6.0,6.7891,32.6813,25.6464,57.7,7.11,309.3,0.68,1.1440000000000001,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,6.0,6.7287,32.6845,25.6568,57.7,7.11,309.7,0.6409999999999999,1.212,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,6.6,6.7765,32.6864,25.6521,56.9,7.16,311.7,0.633,1.244,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,7.0,6.3735,32.707,25.7203,56.2,7.18,312.3,0.551,1.0759999999999998,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,7.0,6.3664,32.7098,25.7234,56.4,7.17,312.2,0.851,1.4709999999999999,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,7.0,6.4718,32.6975,25.7003,55.8,7.19,313.0,0.722,1.385,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,7.0,6.792000000000001,32.6815,25.6462,57.7,7.08,308.1,0.71,1.193,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,7.0,6.7278,32.6837,25.6563,57.8,7.11,309.3,0.645,1.205,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,8.0,6.3727,32.7069,25.7203,56.2,7.18,312.5,0.562,1.069,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,8.0,6.3665,32.7099,25.7235,56.5,7.17,312.0,0.8340000000000001,1.5119999999999998,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,8.0,6.4718,32.6976,25.7004,56.0,7.19,312.9,0.755,1.466,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,8.0,6.79,32.6816,25.6465,57.7,7.02,305.6,0.7290000000000001,1.162,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,8.0,6.74,32.6834,25.6545,57.8,7.11,309.4,0.639,1.205,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,8.4,6.7767,32.6869,25.6525,56.9,7.17,312.0,0.677,1.242,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,9.0,6.3724,32.707,25.7204,56.2,7.18,312.5,0.581,1.155,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,9.0,6.3666,32.7099,25.7235,56.5,7.16,311.9,0.82,1.5030000000000001,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,9.0,6.7745,32.6868,25.6527,56.9,7.16,311.7,0.68,1.272,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,9.0,6.7902,32.6815,25.6464,57.7,7.05,306.9,0.701,1.193,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,9.0,6.7406,32.6837,25.6547,57.8,7.11,309.6,0.649,1.149,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,9.1,6.47,32.6978,25.7008,55.8,7.2,313.2,0.769,1.475,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,9.9,6.4688,32.6979,25.701,55.8,7.2,313.3,0.755,1.536,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,10.0,6.3731,32.7067,25.7201,56.2,7.18,312.4,0.593,1.1520000000000001,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,10.0,6.3664,32.7097,25.7233,56.4,7.17,312.1,0.84,1.531,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,10.0,6.7753,32.6868,25.6526,56.9,7.16,311.7,0.677,1.281,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,10.0,6.7922,32.6816,25.6462,57.7,7.09,308.7,0.6729999999999999,1.202,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,10.0,6.74,32.684,25.655,57.8,7.11,309.7,0.64,1.176,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,11.0,6.374,32.7068,25.7201,56.2,7.18,312.4,0.591,1.194,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,11.0,6.3662,32.7098,25.7234,56.5,7.17,312.2,0.8320000000000001,1.4869999999999999,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,11.0,6.4657,32.6985,25.7019,55.9,7.2,313.4,0.7659999999999999,1.528,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,11.0,6.771,32.6872,25.6534,56.9,7.16,311.7,0.6459999999999999,1.274,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,11.0,6.7926,32.6817,25.6463,57.7,7.11,309.5,0.6459999999999999,1.189,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,11.0,6.7397,32.684,25.655,57.7,7.1,309.0,0.649,1.225,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,12.0,6.3734,32.707,25.7203,56.2,7.18,312.6,0.612,1.213,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,12.0,6.3675,32.7098,25.7233,56.4,7.17,312.0,0.8759999999999999,1.48,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,12.0,6.761,32.6882,25.6555,56.9,7.16,311.9,0.652,1.27,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,12.0,6.6767,32.69,25.668000000000003,57.7,7.14,310.6,0.6679999999999999,1.224,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,12.0,6.7365,32.6841,25.6555,57.6,7.07,307.8,0.635,1.2329999999999999,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,12.2,6.4658,32.6984,25.7018,55.9,7.19,313.1,0.784,1.5730000000000002,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,13.0,6.3656,32.7102,25.7238,56.4,7.17,312.0,0.826,1.536,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,13.0,6.4669,32.6983,25.7016,55.7,7.19,312.9,0.7829999999999999,1.5190000000000001,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,13.0,6.7464,32.6879,25.6572,56.8,7.16,311.7,0.654,1.254,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,13.0,6.5194,32.6953,25.6925,57.5,7.17,312.2,0.691,1.2570000000000001,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,13.0,6.7335,32.6845,25.6562,57.6,7.1,309.1,0.643,1.18,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,13.3,6.3733,32.7068,25.7202,56.2,7.18,312.5,0.6659999999999999,1.3019999999999998,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,13.9,6.4637,32.6989,25.7024,55.7,7.19,313.0,0.758,1.456,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,14.0,6.356,32.7075,25.7229,56.0,7.18,312.7,0.701,1.382,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,14.0,6.3634,32.7103,25.7242,56.4,7.17,312.2,0.856,1.5390000000000001,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,14.0,6.4905,32.6954,25.6963,57.4,7.18,312.7,0.72,1.275,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,14.0,6.7175,32.6865,25.6599,57.7,7.11,309.6,0.648,1.215,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,14.2,6.7351,32.6885,25.6592,56.9,7.15,311.4,0.64,1.232,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,15.0,6.3244,32.7078,25.7271,56.1,7.19,313.1,0.727,1.526,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,15.0,6.3636,32.7102,25.7241,56.5,7.17,312.2,0.8490000000000001,1.525,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,15.0,6.4549,32.6999,25.7044,56.0,7.19,313.0,0.757,1.538,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,15.0,6.7262,32.6887,25.6605,56.9,7.15,311.3,0.6559999999999999,1.275,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,15.0,6.4442,32.6963,25.7029,57.2,7.19,313.0,0.732,1.304,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,15.0,6.5692,32.6946,25.6855,57.6,7.14,310.9,0.677,1.357,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,16.0,6.3273,32.7077,25.7267,56.1,7.19,312.9,0.7609999999999999,1.535,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,16.0,6.3629999999999995,32.7102,25.7242,56.4,7.17,312.2,0.867,1.536,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,16.0,6.4503,32.7004,25.7053,55.9,7.2,313.2,0.754,1.504,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,16.0,6.7204,32.6894,25.6618,56.8,7.15,311.1,0.6609999999999999,1.2670000000000001,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,16.0,6.4271,32.6968,25.7055,56.9,7.19,313.1,0.76,1.3359999999999999,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,16.0,6.4758,32.6964,25.6989,57.2,7.15,311.3,0.716,1.3730000000000002,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,17.0,6.3224,32.7079,25.7275,56.0,7.19,313.0,0.777,1.5390000000000001,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,17.0,6.3605,32.7107,25.7249,56.4,7.18,312.3,0.863,1.5859999999999999,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,17.0,6.4429,32.7014,25.7071,55.9,7.19,312.8,0.748,1.485,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,17.0,6.6902,32.6915,25.6674,56.8,7.15,311.3,0.655,1.258,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,17.0,6.4208,32.6968,25.7063,56.9,7.19,313.0,0.787,1.3730000000000002,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,17.0,6.4405,32.6974,25.7042,57.2,7.16,311.6,0.762,1.403,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,17.8,6.3579,32.7108,25.7253,56.4,7.17,312.2,0.885,1.589,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,18.0,6.3167,32.7079,25.7282,56.0,7.19,313.0,0.757,1.567,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,18.0,6.4365,32.7018,25.7082,55.9,7.18,312.6,0.738,1.484,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,18.0,6.6338,32.694,25.6767,56.6,7.17,312.1,0.696,1.351,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,18.0,6.4163,32.6973,25.7072,57.0,7.18,312.4,0.777,1.401,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,18.0,6.3932,32.7004,25.7126,57.0,7.17,312.2,0.78,1.4380000000000002,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,19.0,6.3136,32.708,25.7287,55.9,7.2,313.2,0.7809999999999999,1.5930000000000002,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,19.0,6.3545,32.711,25.7259,56.4,7.17,312.0,0.875,1.575,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,19.0,6.4325,32.7025,25.7093,55.9,7.18,312.7,0.74,1.456,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,19.0,6.5655,32.698,25.6887,56.4,7.18,312.6,0.735,1.3519999999999999,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,19.0,6.3901,32.6993,25.7121,56.7,7.18,312.3,0.785,1.426,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,19.0,6.3503,32.7037,25.7206,56.9,7.18,312.5,0.838,1.526,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,20.0,6.3224,32.7074,25.7271,56.0,7.18,312.4,0.7809999999999999,1.6019999999999999,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,20.0,6.355,32.711,25.7258,56.3,7.17,312.0,0.8740000000000001,1.537,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,20.0,6.3993,32.7062,25.7164,55.9,7.19,313.1,0.745,1.442,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,20.0,6.4949,32.7012,25.7003,56.3,7.19,313.1,0.716,1.375,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,20.0,6.3663,32.701,25.7165,56.8,7.18,312.6,0.848,1.507,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,20.0,6.2823,32.7086,25.7331,56.6,7.19,313.1,0.89,1.693,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,21.0,6.3184,32.7077,25.7278,56.0,7.18,312.3,0.802,1.565,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,21.0,6.3551,32.7111,25.7259,56.4,7.17,312.0,0.871,1.555,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,21.0,6.3682,32.7084,25.7221,55.9,7.2,313.5,0.7509999999999999,1.516,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,21.0,6.4619,32.7024,25.7054,56.3,7.21,313.7,0.716,1.391,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,21.0,6.3122,32.7061,25.7273,56.6,7.19,312.8,0.895,1.6740000000000002,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,21.0,6.2327,32.7101,25.7405,56.4,7.2,313.4,0.937,1.751,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,22.0,6.3194,32.7077,25.7277,56.0,7.17,312.0,0.782,1.5630000000000002,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,22.0,6.3538,32.7114,25.7263,55.9,7.17,312.1,0.8370000000000001,1.514,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,22.0,6.3628,32.7088,25.7231,55.9,7.2,313.5,0.7609999999999999,1.5219999999999998,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,22.0,6.4587,32.7023,25.7058,56.2,7.22,314.0,0.7190000000000001,1.3869999999999998,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,22.0,6.2296,32.7103,25.741,56.6,7.2,313.4,0.975,1.683,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,22.0,6.1733,32.7096,25.7475,56.4,7.22,314.0,0.977,1.7930000000000001,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,23.0,6.2523,32.71,25.7379,56.0,7.18,312.6,0.833,1.666,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,23.0,6.346,32.711999999999996,25.7277,54.2,7.17,311.9,0.895,1.5590000000000002,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,23.0,6.3557,32.7095,25.7245,55.8,7.2,313.4,0.758,1.5290000000000001,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,23.0,6.4533,32.7028,25.7068,56.2,7.21,313.9,0.732,1.3940000000000001,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,23.0,6.1805,32.7094,25.7464,56.8,7.21,313.8,1.004,1.74,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,23.0,6.1524,32.7085,25.7492,57.0,7.21,313.8,0.993,1.845,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,24.0,6.2155,32.7108,25.7432,55.6,7.21,313.7,0.851,1.734,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,24.0,6.3412,32.7123,25.7286,56.2,7.17,311.9,0.887,1.6119999999999999,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,24.0,6.3486,32.7097,25.7256,55.9,7.2,313.3,0.7879999999999999,1.5219999999999998,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,24.0,6.4402,32.7034,25.709,56.1,7.21,313.9,0.75,1.4969999999999999,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,24.0,6.171,32.7088,25.7472,56.5,7.21,313.8,1.048,1.757,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,24.0,6.1484,32.7081,25.7494,57.0,7.19,312.9,1.01,1.8769999999999998,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,25.0,6.197,32.711,25.7456,55.5,7.21,313.8,0.909,1.786,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,25.0,6.3387,32.7123,25.7289,56.3,7.18,312.3,0.875,1.671,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,25.0,6.3362,32.7107,25.7279,55.9,7.2,313.5,0.8009999999999999,1.567,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,25.0,6.4252,32.7043,25.7116,56.0,7.21,313.9,0.748,1.463,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,25.0,6.1667,32.7087,25.7476,57.1,7.21,313.8,1.082,1.713,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,25.0,6.1449,32.7082,25.7499,57.3,7.18,312.7,1.038,1.824,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,26.0,6.1868,32.7108,25.7468,55.7,7.2,313.4,0.943,1.847,
2012-12-0081.ctd,UTC,02/06/2012, 08:28,81,50.0005,-144.99933000000001,P26,Mid-ship,26.0,6.3364,32.7123,25.7292,56.3,7.18,312.3,0.904,1.699,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,26.0,6.3308,32.7108,25.7287,55.8,7.21,313.7,0.815,1.508,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,26.0,6.4098,32.7051,25.7142,56.1,7.22,314.0,0.78,1.531,
2012-12-0099.ctd,UTC,04/06/2012, 11:33,99,49.999829999999996,-144.9995,P26,Mid-ship,26.0,6.1634,32.7087,25.748,57.1,7.21,313.8,1.02,1.7690000000000001,
2012-12-0100.ctd,UTC,04/06/2012, 12:39,100,50.00033,-145.0005,P26,Mid-ship,26.0,6.1386,32.7086,25.750999999999998,57.5,7.18,312.5,1.0590000000000002,1.824,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,27.0,6.3286,32.7111,25.7292,55.8,7.2,313.6,0.799,1.526,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,27.0,6.3991,32.7057,25.715999999999998,56.0,7.22,314.1,0.7829999999999999,1.546,
