File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2580.1,1.683,34.6362,27.7304,67.9,2.07,89.9,0.024,0.121,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2581.0,1.6824,34.6364,27.7306,67.9,2.06,89.6,0.024,0.133,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2581.0,1.6905,34.6348,27.7287,67.9,2.04,88.6,0.024,0.127,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2581.1,1.6892,34.6349,27.7289,67.8,2.05,88.8,0.024,0.128,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2581.9,1.6875,34.6353,27.7293,67.8,2.05,89.1,0.024,0.12300000000000001,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2582.0,1.6817,34.6364,27.7307,67.9,2.07,89.9,0.024,0.12,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2582.0,1.6904,34.635,27.7289,67.9,2.04,88.6,0.024,0.152,
2012-12-0078.ctd,UTC,02/06/2012, 00:17,78,50.0005,-144.99833999999998,P26,Mid-ship,2583.0,1.6815,34.6362,27.7305,67.9,2.07,89.9,0.024,0.125,
2012-12-0089.ctd,UTC,03/06/2012, 04:13,89,50.00033,-144.9985,P26,Mid-ship,2583.0,1.6863,34.6357,27.7297,67.8,2.06,89.7,0.024,0.124,
2012-12-0098.ctd,UTC,04/06/2012, 03:33,98,49.99967,-144.99933000000001,P26,Mid-ship,2583.0,1.6904,34.6348,27.7287,67.9,2.04,88.8,0.024,0.128,
