File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,12.9,6.0134,32.7222,25.7772,,6.96,302.8,0.634,,
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,13.0,6.0411,32.7226,25.7741,,6.97,303.2,0.633,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,13.0,5.9081,32.7214,25.7894,,6.99,304.1,0.562,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,13.0,5.903,32.7214,25.79,,6.96,302.9,0.5660000000000001,,0.0
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,13.1,6.0863,32.7228,25.7687,,6.95,302.4,0.614,,
2017-01-0044.ctd,UTC,12-02-17, 06:13,44,50.00183,-144.9985,P26,Mid-ship,13.8,6.086,32.7228,25.7687,,6.95,302.4,0.623,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,14.0,5.9084,32.7213,25.7893,,7.0,304.6,0.5720000000000001,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,14.0,5.9041,32.7214,25.7899,,6.96,302.8,0.5710000000000001,,0.0
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,14.1,6.0409,32.7227,25.7742,,6.97,303.3,0.631,,
2017-01-0050.ctd,UTC,12-02-17, 12:05,50,50.000170000000004,-144.99983,P26,Mid-ship,15.0,5.9091,32.7214,25.7893,,6.99,304.3,0.561,,
2017-01-0051.ctd,UTC,12-02-17, 16:33,51,50.000170000000004,-145.00017,P26,Mid-ship,15.0,5.9046,32.7214,25.7898,,6.95,302.6,0.569,,0.0
2017-01-0047.ctd,UTC,12-02-17, 09:32,47,50.00183,-144.9985,P26,Mid-ship,15.1,6.0411,32.7226,25.7741,,6.96,302.7,0.64,,
2017-01-0048.ctd,UTC,12-02-17, 10:05,48,50.00134,-144.99899,P26,Mid-ship,15.3,6.0145,32.7225,25.7773,,6.95,302.3,0.625,,
