File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [%/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,mass_concentration_of_chlorophyll,PAR:CTD [µE/m^2/sec]
2013-17-0092.ctd,UTC,18-06-13, 06:57,92,50.0005,-144.99983,P26,Mid-ship,7,9.1235,32.5274,25.1891,51.6,6.83,297.3,2.6830000000000003,
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,7,9.3113,32.5267,25.159000000000002,51.8,6.82,297.0,2.539,6.6
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,7,9.3447,32.5269,25.1538,51.8,6.82,296.8,2.526,10.1
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,8,8.8078,32.5292,25.2395,53.2,6.81,296.5,2.0380000000000003,1.2
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,8,8.8061,32.53,25.2403,53.2,6.83,297.5,2.036,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,8,8.8069,32.5294,25.2397,53.2,6.81,296.6,2.042,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,8,8.8529,32.5295,25.2328,52.3,6.81,296.6,1.7590000000000001,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,8,8.9025,32.5295,25.2251,52.0,6.82,296.9,1.9,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,8,9.0176,32.5301,25.2078,52.0,6.83,297.6,1.839,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,8,8.955,32.5279,25.2158,53.5,6.8,296.2,2.16,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,8,9.1607,32.5264,25.1825,51.2,6.83,297.6,2.3680000000000003,54.3
2013-17-0092.ctd,UTC,18-06-13, 06:57,92,50.0005,-144.99983,P26,Mid-ship,8,9.1237,32.5274,25.1891,51.6,6.84,297.7,2.67,
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,8,9.283999999999999,32.5261,25.1628,51.8,6.82,297.1,2.55,6.1
2013-17-0099.ctd,UTC,19-06-13, 16:02,99,50.00067,-144.99916000000002,P26,Mid-ship,8,9.334,32.5268,25.1554,51.8,6.81,296.5,2.535,8.7
2013-17-0080.ctd,UTC,16-06-13, 13:51,80,49.9985,-145.0025,P26,Mid-ship,9,8.808,32.5293,25.2395,53.2,6.81,296.6,2.0180000000000002,1.1
2013-17-0081.ctd,UTC,16-06-13, 14:33,81,49.99933,-145.00267,P26,Mid-ship,9,8.8063,32.53,25.2403,53.3,6.83,297.2,2.043,
2013-17-0082.ctd,UTC,16-06-13, 15:49,82,49.99917,-145.0025,P26,Mid-ship,9,8.8068,32.5295,25.2398,53.3,6.82,296.9,2.016,
2013-17-0084.ctd,UTC,16-06-13, 20:47,84,50.001999999999995,-145.00034,P26,Mid-ship,9,8.8477,32.5297,25.2337,52.2,6.82,297.1,1.807,
2013-17-0085.ctd,UTC,16-06-13, 22:45,85,50.0005,-144.99867,P26,Mid-ship,9,8.9039,32.5297,25.2251,52.0,6.82,296.9,1.905,
2013-17-0086.ctd,UTC,17-06-13, 01:41,86,50.00067,-144.99983,P26,Mid-ship,9,8.9883,32.5298,25.2121,52.1,6.84,298.0,1.893,
2013-17-0087.ctd,UTC,17-06-13, 14:34,87,49.9995,-144.9975,P26,Mid-ship,9,8.9567,32.528,25.2156,53.7,6.8,296.0,2.186,
2013-17-0091.ctd,UTC,18-06-13, 03:03,91,50.000170000000004,-144.99867,P26,Mid-ship,9,9.1403,32.5263,25.1856,51.1,6.82,297.0,2.411,45.5
2013-17-0092.ctd,UTC,18-06-13, 06:57,92,50.0005,-144.99983,P26,Mid-ship,9,9.122,32.5274,25.1894,51.7,6.85,298.1,2.678,
2013-17-0098.ctd,UTC,19-06-13, 14:38,98,50.0,-144.99899,P26,Mid-ship,9,9.2437,32.5256,25.1688,51.6,6.83,297.5,2.529,5.5
